Category,original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
Temporal Scope,start month,The month surveying began,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, month)",,,,,,,,,,
Temporal Scope,start day,The day surveying began,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, day)",,,,,,,,,,
Temporal Scope,end year,The year surveying ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, year)",,,,,,,,,,
Temporal Scope,end month,The month surveying ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, month)",,,,,,,,,,
Temporal Scope,end day,The day surveying ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, day)",,,,,,,,,,
Temporal Scope,start time,The hour of day started,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, eventTime)",,,,,,,,,,
Temporal Scope,end time,The hour of day ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, eventTime)",,,,,,,,,,
Temporal Scope,study diurnality,"Author reported sampling during day, night, or both?",diurnality,deprecate,,,,,,,,,,,
Temporal Scope,study season,Did the author report seasons surveyed? Which ones (from a pick list).,season,deprecate,,,,,,,,,,,
Taxonomic Scope,prospective taxonomic scope,Set of searched species during inventory,taxonomicScope,HC term,,targetTaxonomicScope,Target Taxonomic Scope,Taxonomic group(s) targeted for sampling during the Event.,"The Event could be at any level of hierarchy. In the case of a higher level Event (parent), include all taxonomic groups surveyed in the child Events that contributed to the parent Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","`Aves`, `Aves | Mammalia`, `Procellariformes`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,taxonomic group(s) excluded from study,Set of species explicitly excluded from the inventory,excludedTaxonomicScope,HC term,,excludedTaxonomicScope,Excluded Taxonomic Scope,Taxonomic group(s) explicitly excluded from sampling during the Event.,The Event could be at any level of hierarchy. In the case of a higher level Event (parent) include all the taxonomic groups explicitly excluded from the child Events that contributed to the parent Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`nocturnal Aves`, `Quercus`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,developmental stage,"Type(s) of individuals included when sampling due to developmental stage. Pick list: ""Adult/Reproductive/Juvenile/Larval/Seedling/Vegetative/Reproductive""",lifeStageScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,targetLifestageScope,Target Life Stage Scope,The targeted age class(es) or life stage(s) of the Organism(s) sampled during the Event.,This term i   s defined based on the definition of the Darwin Core term lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`larva`, `adult | juvenile`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,developmental stage excluded,"Type(s) of individuals excluded when sampling due to developmental stage. Pick list: ""Adult/Reproductive/Juvenile/Larval/Seedling/Vegetative/Reproductive""",excludedLifeStageScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,excludedLifeStageScope,Excluded Life Stage Scope,The explicitly excluded age class(es) or life stage(s) of the organism(s) sampled during the Event.,This term is defined based on the definition of the Darwin Core term lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use a controlled vocabulary and to separate multiple values in a list with space vertical bar space ( | ).,"`seedling`, `nestling | fledgling`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,distributional status,"Distributional status explicitly included in inventory. Pick list: ""Native/Non-Native/Invasive/Naturalized""",degreeOfEstablishmentScope,HC term,,targetDegreeOfEstablishmentScope,Target Degree Of Establishment Scope,Degree(s) of establishment targeted for sampling during the Event.,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for the Darwin Core term degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","`native`, `invasive | widespreadInvasive`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,distributional status excluded,"Distributional status explicitly exluded in inventory. Pick list: ""Native/Non-Native/Invasive/Naturalized""",excludedDegreeOfEstablishmentScope,HC term,,excludedDegreeOfEstablishmentScope,Excluded Degree Of Establishment Scope,Degree(s) of establishment explicitly excluded from sampling during the Event.,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for the Darwin Core term degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","`native`, `invasive | widespreadInvasive`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,growth form,Growth form explicitly included in inventory. Current controlled vocab. list: tree/shrub.,growthFormScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,targetGrowthFormScope,Target Growth Form Scope,Targeted growth form(s) or habit(s) of the Organism(s) sampled during the Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`tree`, `shrub | sub-shrub`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,growth form excluded,Growth form explicitly excluded in inventory. Current controlled vocab. list: tree/shrub.,excludedGrowthFormScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,excludedGrowthFormScope,Excluded Growth Form Scope,Explicitly excluded growth form(s) or habit(s) of the Organism(s) sampled during the Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`tree`, `shrub | sub-shrub`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Taxonomic Scope,size class,"Size classes included in the study for the prospective taxa (e.g., only small mammals)",sizeClassScope,deprecate,https://github.com/tdwg/hc/issues/10 [agreement to deprecate...close issue],,,,,,,,,,
Taxonomic Scope,size class excluded,"Size classes excluded in the study for the prospective taxa (e.g., only small mammals)",excludedSizeClassScope,deprecate,https://github.com/tdwg/hc/issues/10 [agreement to deprecate...close issue],,,,,,,,,,
Organismal information,environmental information provided,"Controlled vocabulary includes ""Environment reported by site"", ""reported but not by site"", and ""not reported""",environmentReported,deprecate,,,,,,,,,,,
Organismal information,habitat inclusion,A verbatim text description of the habitats reported as included in the surveys,habitatScope,HC term,is this part of geospatial scope?,habitatScope,Habitat Scope,Targeted habitat(s) sampled during the Event.,Recommended best practice is to use a controlled vocabulary and separate the values in a list with space vertical bar space ( | ).,"`dunes`, `pine forest`, `riparian`, `scrub | grassland`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Organismal information,habitat exclusion,A verbatim text description of the habitats explicitly reported as not included in the surveys,excludedHabitatScope,HC term,is this part of geospatial scope?,excludedHabitatScope,Excluded Habitat Scope,Explicitly excluded habitat(s) sampled during the Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`wet flatwoods`, `swamp | estuary`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Organismal information,reported on the ground weather conditions,"Weather or climate conditions experienced during the survey (e.g., drought, frost)",reportedWeather,HC term,is this part of geospatial scope?,reportedWeather,Reported Weather,A list of weather or climatic conditions present at the time of the Event.,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"`{'minimumTemperatureInDegreesFarenheit':18, 'maximumTemperatureInDegreesFarenheit':32, 'stillWaterCondition':'Partly Frozen'}`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Organismal information,reported local conditional impacts,"Adverse conditions that affected the survey or survey sites (e.g., fire, floods)",reportedImpacts,HC term,is this part of geospatial scope?,reportedExtremeConditions,Reported Extreme Conditions,A description of any extreme weather or environmental condition(s) that may have affected the Event.,,"`flooding during week 3 of surveys`, `rockslide at site 2`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,inventory type,"Inventory type can be restricted search, open search, opportunistic search, trap, incidental or adventitous or material sample. Recommend using a subclasee of bco:taxonomic inventory process.",inventoryType,HC term,,inventoryTypes,Inventory Types,The type(s) of search process(es) used to conduct the inventory.,This term is only relevant if the Event represents an inventory. Recommended best practice is to use a controlled vocabulary such as the terms included under the Biological Collections Ontology superclass 'taxonomic inventory process' (http://purl.obolibrary.org/obo/BCO_0000047). Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`restricted search`, `open search`, `opportunistic search`, `adventitious`, `compilation`, `open search | opportunistic search`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,inventory compilation type,"Compiled data is ancillary data that was not directly collected by authors but assembled from other sources. Inventories can be compiled only, survey only, or both.",compilationType,HC term,,compilationType,Compilation Type,"A statement specifying whether data reported are derived from sampling event(s), ancillary data compiled from other sources, or a combination of both.",This term is only relevant if the Event is an inventory. Recommended best practice is to use a controlled vocabulary.,"`surveyOnly`, `compilationIncludingSurveys`, `compilationNotIncludingSurveys`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,type of compilation,"Compilation types include expert and local knowledge, museum specimens, literature, or other sources",complicationSources,HC term,Proposed term name change.,compilationSourceTypes,Compilation Source Types,The type(s) of data sources contributing to the compilation reported.,This term is only relevant if the Event is a compilation in which one or more types of data sources were used. Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`museum specimens`, `literature`, `expert knowledge | local knowledge`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,shape of search area (if restricted or open search),"The shape of the search area can be rectangle, circle, line, or polygon",inventoryGeometryType,deprecate [group decision],"Ultimately the term is not necessary provided that the info would already be captured with the combination of footprintWKT and protocol, protocol details.",,,,,,,,,,
Methodology,protocol name,"The published name of the protocol used to carry out survey (e.g., Pollard walk)",samplingProtocol,HC term,"Suggestion made to DwC to tweak definition slightly (to include plurals) and to add comment. See: https://github.com/tdwg/dwc/issues/322
Screen reader support enabled.
first round review suggested to use dwc:samplingProtocol
Difficult to map to dwc::samplingProtocol because the mapping would be 3 to 1
Group discussion decided to keep it as a separate term",protocolName,Protocol Name,Categorical descriptive name(s) for the method(s) used during the Event.,Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ).,"`boxTrapping`, `floraInventory`, `boxTrapping | funnelTrapping`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,protocol detail,"Any variations in the published protocol. For compilations that don't have a standard protocol or have an unpublished protocol, details are presented here.",samplingProtocol,HC term,"Included in samplingProtocol
First round review suggested to use dwc:samplingProtocol
Group discussion decided to keep it as a separate term",protocolDescription,Protocol Description,A detailed description of the method(s) used during the Event.,"This description should be associated with reporting of protocolNames. This may include deviations from the published protocol referred to in protocolReferences. Good practices may include instruments used, calibration, etc.","`Three conventional harp traps (3.2m ht x 2.2m w) were established in flight path zones for a period of 4 hrs at dawn and dusk for a total of 10 trap nights. Traps were visited on an hourly basis during each deployment period and the trap catch recorded for species, size, weight, sex, age and maternal status.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,protocol citation,APA (American Psychological Association) formatted reference to protocol used,samplingProtocol,deprecate [group decision],Included in samplingProtocol,,,,,,,,,,
Methodology,protocol reference,"DOI, URL or ISBN to the published protocol reference if available",samplingProtocol,HC term,"Included in samplingProtocol
First round review suggested to use dwc:samplingProtocol
Group discussion decided to keep it as a separate term",protocolReferences,Protocol References,The reference(s) to the method(s) used during the Event.,Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,"`Penguins from space: faecal stains reveal the location of emperor penguin colonies, https://doi.org/10.1111/j.1466-8238.2009.00467.x`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,were abundances reported?,Did the survey results include number of individuals captured per species? (yes/no),isAbundanceReported,HC term,,isAbundanceReported,Is Abundance Reported,A statement about whether the number of Organisms collected or observed is reported.,"If the Event is a compilation that contains at least one reported abundance, the value should be 'true'. Typically abundance values reported would be associated with related occurrences, either under the term dwc:individualCount or the combination of terms dwc:organismQuantity and dwc:organismQuantityType.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,reported abundance cap,"What value, if any, was used a maximum cap on reported abundances? (yes/no)",isAbundanceCapReported,HC term,,isAbundanceCapReported,Is Abundance Cap Reported,"A statement about whether a maximum number of Organisms is reported, as specified or restricted by the protocol used.","If the Event is a compilation that contains at least one reported abundance capped, the value should be 'true'. Values of abundance cap should be captured under the term hc:abundanceCap.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,,,,HC term,"New term. Implementation advice: if there is a non-Null value provided here, code isAbundanceCapReported boolean field to automatic=YES",abundanceCap,Abundance Cap,Maximum number of Organisms reported.,"If the Event is a compilation that contains at least one reported abundance capped, the value should be the maximum abundance cap among the ones reported.","`300`,`700`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,was vegetation cover reported?,"In vegetation surveys, was cover metric reported as output (yes/no)",isVegetationCoverReported,HC term,,isVegetationCoverReported,Is Vegetation Cover Reported,A statement about whether a vegetation cover metric is reported.,"If the Event is a compilation that contains at least one reported vegetation cover metric, the value should be 'true'. Typically values or descriptions of vegetation cover would be captured under the term hc:verbatimSiteDescriptions.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
Methodology,were absences reported?,Did the authors report species expected in the survey that were not found? (yes/no),isAbsenceReported,HC term,,isAbsenceReported,Is Absence Reported,A statement about whether taxonomic absences are reported.,"If the Event is a compilation that contains at least one reported taxonomic absence, the value should be 'true'. Absences could be reported at any taxonomic level.","`true`, `false`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
