original_HC_label,original_HC_definition,current_termName,review_decision,notes,term_localName,label,rdfs_comment  [DEFINITION],dcterms_description [COMMENTS],examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
end year,The year surveying ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, year)",,,,,,,,,,
end month,The month surveying ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, month)",,,,,,,,,,
end day,The day surveying ended ,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, verbatimEventDate, day)",,,,,,,,,,
start time,The hour of day started,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, eventTime)",,,,,,,,,,
end time,The hour of day ended,,deprecate/indirect mapping,"Could actually be mapped to more than one DwC term (eventDate, eventTime)",,,,,,,,,,
study diurnality,"Author reported sampling during day, night, or both?",diurnality,HC term,,diurnality,Diurnality,Part of the day relative to the sunlight condition during which the event occurred.,"Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | ).","Examples: 'day', 'night', 'twilight','day | twilight'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
study season,Did the author report seasons surveyed?  Which ones (from a pick list).,season,HC term,,season,Season,Season during which the event occurred.,"Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | ).","spring', 'summer | autumn'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
prospective taxonomic scope,Set of searched species during inventory,taxonomicScope,HC term,,taxonomicScope,Taxonomic Scope,Taxonomic groups included in the sampling event(s) contributing to the event referred to in the record.,"The sampling event could be of any hierarchy, including individual inventories and summary inventories.
In the case of a summary inventory, include all taxonomic groups surveyed in the individual sampling events that contributed to the compilation. Recommended best practice is to separate the values in a list with space vertical bar space ( | ).","birds', 'birds | mammals', 'Procellariformes'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
taxonomic group(s) excluded from study,Set of species explicitly excluded from the inventory,excludedTaxonomicScope,HC term,,excludedTaxonomicScope,Excluded Taxonomic Scope,Taxonomic groups explicitely excluded in the sampling event(s) contributing to the event referred to in the record.,"The sampling event could be of any hierarchy, including individual inventories and summary inventories.
In the case of a summary inventory include all the taxonomic groups explicitely excluded from the individual sampling events that contributed to the compilation. Recommended best practice is to separate the values in a list with space vertical bar space ( | ).","nocturnal bird species', 'Quercus spp.'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
    developmental stage,"Type(s) of individuals included  when sampling due to developmental stage.  Pick list: ""Adult/Reproductive/Juvenile/Larval/Seedling/Vegetative/Reproductive""",lifeStageScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,lifeStageScope,Life Stage Scope,The age class or life stage of the biological individual(s) included in the sampling event(s) contributing to the event referred to in the record at the time it was recorded.,"This term is defined based on the definition of the Darwin Core term lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | )."," 'larva', 'adult | juvenile'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
    developmental stage excluded,"Type(s) of individuals excluded when sampling due to developmental stage. Pick list: ""Adult/Reproductive/Juvenile/Larval/Seedling/Vegetative/Reproductive""",excludedLifeStageScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,excludedLifeStageScope,Excluded Life Stage Scope,The age class or life stage of the biological individual(s) explicitly excluded in the sampling event(s) contributing to the event referred to in the record at the time it was recorded.,"This term is defined based on the definition of the Darwin Core term lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | )."," 'seedling', 'nestling | fledgling'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
distributional status,"Distributional status explicitly included in inventory. Pick list: ""Native/Non-Native/Invasive/Naturalized""",degreeOfEstablishmentScope,HC term,,degreeOfEstablishmentScope,Degree Of Establishment Scope,Degree(s) of establishment included in the sampling event(s) referred to in the record.,"This term is defined based on the definition of the Darwin Core term degreeOfEstablishment (http://rs.tdwg.org/dwc/terms/degreeOfEstablishment). Recommended best practice is to use controlled value strings from the http://rs.tdwg.org/dwcdoe/ controlled vocabulary designated for use with the Darwin Core term degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. If many values applicable, separate the values in a list with space vertical bar space ( | )."," 'native', 'invasive | widespreadInvasive'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
distributional status excluded,"Distributional status explicitly exluded in inventory. Pick list: ""Native/Non-Native/Invasive/Naturalized""",excludedDegreeOfEstablishmentScope,HC term,,excludedDegreeOfEstablishmentScope,Excluded Degree Of Establishment Scope,Degree(s) of establishment explicitly excluded from the sampling event(s) contributing to the event referred to in the record.,"This term is defined based on the definition of the Darwin Core term degreeOfEstablishment (http://rs.tdwg.org/dwc/terms/degreeOfEstablishment). Recommended best practice is to use controlled value strings from the http://rs.tdwg.org/dwcdoe/ controlled vocabulary designated for use with the Darwin Core term degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. If many values applicable, separate the values in a list with space vertical bar space ( | )."," 'native', 'invasive | widespreadInvasive'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
growth form,Growth form explicitly included in inventory. Current controlled vocab. list: tree/shrub.,growthFormScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,growthFormScope,Growth Form Scope,Growth form or habit of the biological individual(s) included in the sampling event(s) contributing to the event referred to in the record.,"Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | )."," 'tree', 'shrub | sub-shrub'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
growth form excluded,Growth form explicitly excluded in inventory.   Current controlled vocab. list: tree/shrub.,excludedGrowthFormScope,HC term,related question posted to DwC repo: https://github.com/tdwg/dwc/issues/321,excludedGrowthFormScope,Excluded Growth Form Scope,Growth form or habit of the biological individual(s) explicitly excluded from the sampling event(s) contributing to the event referred to in the record.,"Recommended best practice is to use a controlled vocabulary and, if many values applicable, separate the values in a list with space vertical bar space ( | )."," 'tree', 'shrub | sub-shrub'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
size class,"Size classes included in the study for the prospective taxa (e.g., only small mammals)",sizeClassScope,Needs group review,https://github.com/tdwg/hc/issues/10,,,,,,,,,,
size class excluded,"Size classes excluded in the study for the prospective taxa (e.g., only small mammals)",excludedSizeClassScope,Needs group review,https://github.com/tdwg/hc/issues/10,,,,,,,,,,
environmental information provided,"Controlled vocabulary includes ""Environment reported by site"", ""reported but not by site"", and ""not reported""",environmentReported,deprecate,,,,,,,,,,,
habitat inclusion,A verbatim text description of the habitats reported as included in the surveys,habitatsScope,HC term,,habitatsScope,Habitat Scope,The original textual description of the habitats included in the sampling event(s) contributing to the event referred to in the record.,," 'scrub', 'grassland', 'dunes', 'pine forest', 'riparian', 'Redwood burnt 5 years ago', 'wetlands mostly covered by sedges and sparse woody vegetation'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
habitat exclusion,A verbatim text description of the habitats explicitly reported as not included in the surveys,excludedHabitatScope,HC term,,excludedHabitatScope,Excluded Habitat Scope,The original textual description of the habitats explicitly excluded from the sampling event(s) contributing to the event referred to in the record.,, 'wet flatwoods',http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
reported on the ground weather conditions,"Weather or climate conditions experienced during the survey (e.g., drought, frost)",reportedWeather,HC term,,reportedWeather,Reported Weather,A list of weather or climatic conditions present at the time of the sampling event(s) referred to in the record. Meant to provide a mechanism for structured content.,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"{""minimumTemperatureInDegreesFarenheit"":18, ""maximumTemperatureInDegreesFarenheit"":32, ""stillWaterCondition"":""Partly Frozen""}",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
reported local conditional impacts,"Adverse conditions that affected the survey or survey sites (e.g., fire, floods)",reportedImpacts,HC term,Proposed term name change. ,reportedExtremeConditions,Reported Extreme Conditions,A description of any extreme weather event(s) or environmental condition(s) that may have affected the sampling event(s) referred to in the record. ,,"flooding during week 3 of surveys', 'rockslide at site 2'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
inventory compilation type,"Compiled data is ancillary data that was not directly collected by authors but assembled from other sources. Inventories can be compiled only, survey only, or both.  ",compilationType,HC term,,compilationType,Compilation Type,"A statement specifying whether inventory data reported are derived from sampling event(s), anicillary data compiled from other sources, or a combination of both.",This term is only relevant if the event referred to in the record is an inventory. Recommended best practice is to use a controlled vocabulary.," 'surveyOnly', 'compilationIncludingSurveys', 'compilationNotIncludingSurveys'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
type of compilation,"Compilation types include expert and local knowledge, museum specimens, literature, or other sources",complicationSources,HC term,Proposed term name change. ,compilationSourceTypes,Compilation Source Types,Types of data sources contributing to the compilation reported. ,"This term is only relevant if the event referred to in the records is a compilation in which one or more types of data sources may have been used to build the summary. Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | )."," 'museum specimens', 'literature', 'expert knowledge | local knowledge'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
inventory type,"Inventory type can be restricted search, open search,  opportunistic search, trap, incidental or adventitous or material sample. Recommend using a subclasee of bco:taxonomic inventory process.",inventoryType,HC term,,inventoryType,Inventory Type,The type(s) of search process(es) used to conduct the inventory.,"This term is only relevant if the event referred to in the record is an inventory. Recommended best practice is to use a controlled vocabulary such as the terms included under the Biological Collections Ontology superclass 'taxonomic inventory process' (http://
purl.obolibrary.org/obo/BCO_0000047). If multiple values applicable, separate the values in a list with space vertical bar space ( | )."," 'restricted search', 'open search', 'opportunistic search', 'trap', 'adventitious', 'compilation'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
shape of search area  (if restricted or open search),"The shape of the search area can be rectangle, circle, line, or polygon",inventoryGeometryType,HC term,,inventoryGeometryType,Inventory Geometry Type,The type(s) of geometric shape of the survey area(s).,"Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | ).","line', 'circle', 'rectangle', 'polygon', 'line | rectangle' ",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
protocol name,"The published name of the protocol used to carry out survey (e.g., Pollard walk)",samplingProtocol,direct mapping to DwC,Suggestion made to DwC to tweak definition slightly (to include plurals) and to add comment. See: https://github.com/tdwg/dwc/issues/322,samplingProtocol,Sampling Protocol,"The name of, reference to, or description of the method or protocol used during an Event.",,"UV light trap, mist net, bottom trawl, ad hoc observation, point count, Penguins from space: faecal stains reveal the location of emperor penguin colonies, https://doi.org/10.1111/j.1466-8238.2009.00467.x, Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp., http://www.bsc-eoc.org/download/Owl.pdf",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,simple
protocol detail,"Any variations in the published protocol.  For compilations that don't have a standard protocol or have an unpublished protocol, details are presented here.",samplingProtocol,deprecate/indirect mapping,Included in samplingProtocol,,,,,,,,,,
protocol citation,APA (American Psychological Association) formatted reference to protocol used,samplingProtocol,deprecate/indirect mapping,Included in samplingProtocol,,,,,,,,,,
protocol reference,"DOI, URL or ISBN to the published protocol reference if available",samplingProtocol,deprecate/indirect mapping,Included in samplingProtocol,,,,,,,,,,
were abundances reported?  ,Did the survey results include number of individuals captured per species? (yes/no),isAbundanceReported,HC term,,isAbundanceReported,Is Abundance Reported,A statement about whether the number of individuals collected or observed per species is reported.,"If the event referred to in the record is a summary inventory that contains at least one reported abundance, the value should be 'true'. Typically abundance values reported would be associated with related occurrences, either under the term dwc:individualCount or the combination of terms dwc:organismQuantity and dwc:organismQuantityType."," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
reported abundance cap,"What value, if any, was used a maximum cap on reported abundances? (yes/no)",isAbundanceCapReported,HC term,,isAbundanceCapReported,Is Abundance Cap Reported,A statement about whether by design a maximum number of individuals of a given species is reported.,"If the event referred to in the record is a summary inventory that contains at least one reported abundance capped, the value should be 'true'. Typically values of abundance cap would be captured under the term dwc:samplingProtocol."," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
was vegetation cover reported?,"In vegetation surveys, was cover metric reported as output (yes/no)",isVegetationCoverReported,HC term,,isVegetationCoverReported,Is Vegetation Cover Reported,A statement about whether a vegetation cover metric is reported.,Typically values or description of vegetation cover would be captured under the term hc:verbatimSiteDescription.," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
were absences reported?,Did the authors report species expected in the survey that were not found? (yes/no),isAbsenceReported,HC term,,isAbsenceReported,Is Absence Reported,A statement about whether taxonomic absences are reported.,Absences could be reported at any taxonomic level.," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
taxonomic list of reported absences,List of taxa reported absence(s) at whatever taxonomic level reported,absentTaxa,HC term,,absentTaxa,Absent Taxa,A list (concatenated and separated) of taxa reported absent during the sampling event(s) referred to in the record.,Absences could be reported at any taxonomic level. Recommended best practice is to separate the values in a list with space vertical bar space ( | ).," 'Parabuteo unicinctus | Geranoaetus melanoleucus', 'Cetoniinae | Aclopinae | Cyclocephala modesta'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
were specimen vouchers taken during survey?    ,Did the authors collect specimen vouchers? (yes/no),hasVouchers,HC term,,hasVouchers,Has Vouchers,A statement about whether specimen vouchers were collected during the sampling event(s) referred to in the record.,," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
where were vouchers deposited?,"If collected, the name of the repository where vouchers were deposited",voucherLocations,HC term,Proposed term name change.,voucherInstitution,Voucher Institution,A list (concatenated and separated) of the name(s) (or acronyms) in use by the institution(s) where vouchers collected during the sampling event(s) were deposited.,Recommended best practice is to separate the values in a list with space vertical bar space ( | ).," 'FMNH', 'AMNH | MVZ', 'Nairobi National Museum'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
were samples taken from organisms during survey? ,Did the author collect samples from organisms during the survey?,hasSamples,HC term,Proposed term name change.,hasMaterialSamples,Has Material Samples,A statement about whether material samples were taken during the sampling event(s) referred to in the record.,This term is based on the definition of the Darwin Core Class MaterialSample (http://rs.tdwg.org/dwc/terms/MaterialSample).," 'true', 'false'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
what kind of samples were taken from organisms?,"Sample types include blood, tissue, fecal, etc.",sampleTypes,HC term,Proposed term name change.,materialSampleTypes,Material Sample Types,A list (concatenated and separated) of material sample types collected during the sampling event(s) referred to in the record.,"This term is based on the definition of the Darwin Core Class MaterialSample (http://rs.tdwg.org/dwc/terms/MaterialSample). Recommended best practice is to use a controlled vocabulary and, if multiple values applicable, separate the values in a list with space vertical bar space ( | )."," 'whole organism', 'skeleton',  'tissue | blood | fecal | stomach content'",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,http://rs.tdwg.org/dwc/terms/Event,,extension
